EMOTION100_001|eQusodesyo.
EMOTION100_042|gaisytewarewarenyihoNjyiNwa,gaikokugoohanasunonyiskosyiokubyoosugyiru.
EMOTION100_043|myisenohytowawatasyinokotoosyiruyoonyinaryi,watasyiwaitsumoonajyiweitoresunyiootaisytemoraQteita.
EMOTION100_044|konookakarawanaMbyakumaNtoyuuhosyigamyieru.
EMOTION100_045|kanojyowadaigakunyinyuugaksytara,oyakarakeezaitekyinyidokuryitssyiyootoomoQteita.
EMOTION100_046|sabumaryiNnoperyiskoopuga,suicyuukaranyoQkyiryitskyideteita.
EMOTION100_047|betsunyiburumanyitokubetsunakaNsyiNgaaruwakejyanai.
EMOTION100_048|sooyuufetyisyizumuwanaitoomou.
EMOTION100_049|uQdofujyiNgatskuQtekureruoisyiiinakafuunoryooryiotabetasyi,myirukuotaksaNnomyimasyta.
EMOTION100_050|watasyinotsumagabyiNowaQtesyimaQtanode,daidokoronoyukawagyuunyuudarakenyinaQteiru.
EMOTION100_051|keNkaosyteitaftaryinokodomowa,otagainyisykameQtsuraosytesuwaQteita.
EMOTION100_052|jyigyoookeezoksyinagara,jyigyoogaikyosyteirufudoosaNo,kyiryiuryisyteikkotonadohyigeNjyitstekyinanoda.
EMOTION100_053|sykasypepaabaaguwa,sonooomuokeNkyuusurukotonyiyoQte,doobutsunyitaisurukaNgaekatagakawaQtatoiQteiru.
EMOTION100_054|paQkumaNgaarujyookeNomyitasto,oQtekurumoNstaaogyaksyuusytetaberukotogadekyiru.
EMOTION100_055|sonosuuhyakuneNgonyi,fookugaseeyoonoteeburunyiarawarerukotonyinaruga,tadacyinyiukeireraretawakedewanakaQta.
EMOTION100_056|toQpunoryiidaawainunokoodoogakudewaarufatoyobare,ikabeeta,gaMmatotsuzukyimas.
EMOTION100_057|wyiiMmadewaaruktodonokuraikakaryimaska?
EMOTION100_058|sumyimaseN,konoheNnyikuwasykunaiNdes.
EMOTION100_059|mokhyoowajyugyooseQkeeosurutokyino,gakseenosykooosyokhatssurumedyiakyoozainoseNtakuoyobyi,katsuyoohoohoonyitsuiteryikaisurukotodearu.
EMOTION100_060|toryiaezumyisenomae,soojyisytoitekure,ucyimyizumotanomu.
EMOTION100_061|hytobyitowatoonameNtogahajyimarunaNkagetsumomaenyi,koreranonyuujyookeNokau.
EMOTION100_062|kanojyonomyiryokuwakotobadewahyoogeNdekyinai,tosonogeejyutskawasakeNda.
EMOTION100_063|jyisyootosytekaNtaNnakotoo,ikanyimomuzukasysoonyihyoogeNsuruhytowa,amaryiatamagayosasoodewanai.
EMOTION100_064|dezaiMmo,aacyigatanorogodezaiNnyiyoryi,geNdaitekyidetoojyookaN,yakudookaNarumononyisyiagemasyta.
EMOTION100_065|soNnanyiawateteuNteNsyte,iQtaidokoeikooQteNdayo.
EMOTION100_066|jyikaNwaaruNdakara,aNzeNuNteNsytekureyo.
EMOTION100_067|dyispureiwamonyitatomoii,koMpyuutanadonokykykarasytsuryoksareruseesyiga,matawadooganoeezoosyiNgooohyoojyisurukykyidearu.
EMOTION100_068|ucyiaigaskosysyizumaQtatokyi,papagahasyiQtefuraQtonyiiQte,watasytacyinyisaNdoiQcyiomoQtekytekuretawa.
EMOTION100_069|gyiryisyanofuQtoboorunosyiaidewa,iQpoonocyiimunoseNsyuwa,aitecyiimunojyiNcyinoraiNnomukoogawanyibooruomocykomootosytanodes.
EMOTION100_070|eesyanosyiNdyiinyikorasuwa,hetohetonyinaQteoyogyikyiQtaato,doobaadekaroojyiteryikunyiagaQtekytaga,kaikyoosuieekyookainospooksumaNwa,kanojyogatotemogeNkyidearutohaQpyoosyta.
EMOTION100_071|wakaidaNjyogahytozatohanaretayookaNdekyoofunoicyiyaosugostoyuu,horaanoteebaNstairuda.
EMOTION100_072|hytotsunyiwa,seeyoojyiNdewanaihytobyitogajyibuNtacyidokujyinobuNkanyihokoryiomocyhajyimetekytatameto,matahytotsunyiwa,fookuotskawanaisoreranocyiikyiwamoQtomotakaisyuQsyooryitsunocyiikyiokakaeteirutoyuuryiyuukara,konokotowaataQteiru.
EMOTION100_073|watasytacyiwakyoofunonakadeikyteite,kurusyiNdeiruno.
EMOTION100_074|taiyoomohanamotanosyimenaisyi,watasytacyinokodomojyidaimotanosyimenainoyo.
EMOTION100_075|heesyanoeNjyinyiaganyihoNkokunaidehaMbaisareteirudooyoonoseehyiNtosyiyooohykaksytakeQka,hyijyoonyikyoogooryokugaarutohaNdaNitasyimasyta.
EMOTION100_076|noosuuestaNdaigakunokeNkyuusya,airyiiMpepaabaaguwa,oomuwahytonokcyimaneosurudakedenakkotobanoimyiomanabukotogadekyirukotoohaQkeNsytstsuaru.
EMOTION100_077|namaeotyotoiimas.
EMOTION100_078|pyuupyuukazegafkykoNdekuru.
EMOTION100_079|kyee,gyee,yeei.
EMOTION100_080|hyeeM,byeeM,pyeeN.
EMOTION100_081|puryimyee,myeruN,nyeN.
EMOTION100_082|sutyuudeNto,daburudyuaru.
EMOTION100_083|etyuudo,edyukeesyonaru,sabusutyityuusyoN.
EMOTION100_084|jyadyaksyu.
EMOTION100_085|bureNdodyooto.
EMOTION100_086|idyusurufaaze.
EMOTION100_087|aQano.
EMOTION100_088|iQie.
EMOTION100_089|eQee.
EMOTION100_090|oQoi.
EMOTION100_091|NNtone.
EMOTION100_092|aNtsio.
EMOTION100_093|eNtso.
EMOTION100_094|kaatuuN.
EMOTION100_095|siidyii.
EMOTION100_096|ziibura.
EMOTION100_097|depyutyiigabanaa.
EMOTION100_098|eryusyioN.
EMOTION100_099|garyeNto.
EMOTION100_100|raatyaN.
RECITATION324_001|oNnanokogakyiQkyiQuresysoo.
RECITATION324_002|tsatsonyiryokoosyta.
RECITATION324_003|myiNsyuugatyururyiikyuudeNnyisyiNnyuusyta.
RECITATION324_004|haicykyoowakokudetuusaNruuverutyuurugasyooryioosameraretanowa,jyiQsaioonetsubyoonookagedaQta.
RECITATION324_005|rejyaNdoruwamyiNsyuuotyururyiikyuudeNnyimaneeta.
RECITATION324_006|jyogeNwadekyinaitodyupaNwaiQta.
RECITATION324_007|furaNsujyiNsyeftonyihoNjyiNsyefuwazeNzeNcyigau.
RECITATION324_008|cyuugokunogaikoodaNnyiataQsyetosytehakeNsareta.
RECITATION324_009|fasyizumuseeryoktonosooryokseNnyinozomu.
RECITATION324_010|kagusyoonyiNnofyisyeruwa,nyigurumatokoumaokasytekureta.
RECITATION324_011|rookaruroseNnyiwafaMmoooi.
RECITATION324_012|feiNtodeaiteokawasytekarasyuutodefyinyiQsysyta.
RECITATION324_013|seNhaQpyakunanajyuunana,pfefaanyiyoryisyiNtoogeNsyoogahaQkeNsareta.
RECITATION324_014|yureruferyiinyinorunowawatasyinyitoQtekugyoodes.
RECITATION324_015|horuroaratyitaruQfotoyuutokubetsunaoryooryimodemasyta.
RECITATION324_016|fuenootoganarutousagyinokyiQdogasaQsokupyoNtohaneta.
RECITATION324_017|anoryokyakuwauwasanokyafenyiikuyoodes.
RECITATION324_018|mokhyoowaiQtoosyoodes.
RECITATION324_019|usagyinokyiQdowakyibuNyokupyoN,matapyoNtotobyitsuzuketa.
RECITATION324_020|aftanuuNtyiiotanosyimyimasyoo.
RECITATION324_021|kanojyowatyipyikarunafemyinyistodes.
RECITATION324_022|jyosytacytomyiQtsiwasagasyteirusyoruiomyitskerarenakaQta.
RECITATION324_023|fyireNtse,padova,venetsiawadoremoitaryianotosyides.
RECITATION324_024|gakfunyitsugyinoyoonyikaitearunoga,eeferyicyedes.
RECITATION324_025|syopeNhauerutonyiicyenotetsugaksyoohoNdanakaratoryidasyta.
RECITATION324_026|saQsokumesytskaizeNiNnyisyirasemasyoo.
RECITATION324_027|omoiwataireonuide,awasenyikyigaeru.
RECITATION324_028|bostoNde,toarucyopsuiyaehaiQteyuuhaNokuQta.
RECITATION324_029|roksuQpokyuukeeotorazuhataraita.
RECITATION324_030|katstehytoryidekokfunyisyiNnyuusyta.
RECITATION324_031|daga,kyooomaegakokoegojyurainyinaQtanowa,doNnagoyoonanokana?
RECITATION324_032|sabufuraNcyaizaaofuyasytemezasehyakteMpo.
RECITATION324_033|sykokudeoheNrooaNgyasyiyoo.
RECITATION324_034|itsumonotooryigyaNgyaNnakyidasyimasyta.
RECITATION324_035|seNseewa,taQtamamanyuusuomyiteimasyta.
RECITATION324_036|watasyiwagyoQtomeomyihyiraita.
RECITATION324_037|tomodacyienyuuiyaakaadoookuroo.
RECITATION324_038|kaseefuwayasumyinyiosyarenaautaaweanyimyiotstsumyihytoryideyataiotanosyimyimasyta.
RECITATION324_039|woQkanootomonyiwasyiozukenokyuuryigaaimas.
RECITATION324_040|yamanomukoonomyuNhyeNnohytotacyigakoogekyiosykaketa.
RECITATION324_041|bosunyiakoQkyookaranokoogekyinyiyoryi,jyuuicyigatsunyivaryevogaseNryoosareta.
RECITATION324_042|syiruvyiusuwadyuboatoyobareteitafuraNsunoyugunoonoienyiumareta.
RECITATION324_043|sonohokanyiwatasyinyidekyirukotowanakaQtanodes,yuryiewanamyidagoenyinaQta.
RECITATION324_044|garuhakasehyaktaicykaku.
RECITATION324_045|nyihoNseefkaranohyakcyooeNokoeruyosaNyookyuu.
RECITATION324_046|syakyoonoutsksysanyiwatasyiwagyooteNsytesyimaQta.
RECITATION324_047|sopuranokasyporyiraNdacyowakagekyiaiidanotokubetsumeekasytohyoobaNdes.
RECITATION324_048|anatanyiwasaisyohyakpoNdowatasyimas.
RECITATION324_049|syacyookaranosyijyides.
RECITATION324_050|doomokyimaguretoyuumonowatasyoomefyisutyiQkunamonodearurasyii.
RECITATION324_051|kaerugapyokopyokotobyimawaQteimas.
RECITATION324_052|makyoonyiasyiofumyiireru.
RECITATION324_053|vaNdaavoQtotaimucyuuwa,iwayurupaatyiinoyoodehareyakades.
RECITATION324_054|supyiryiQtstowajyooryuusyunokotodes.
RECITATION324_055|nurusyianobenedyiktsuwaaporoNsyiNdeNokowasyibenedyiktokainosyuudooiNotateta.
RECITATION324_056|cyoodosonotokyi,destpaagogakoQpuomoQtetacyiagaryimasyta.
RECITATION324_057|pafyiinoguQzuganokorazuheyanyiocytsuita.
RECITATION324_058|epyifaanofuwasaifuonaksyta.
RECITATION324_059|popyuraanasoftootskaisekyuanajyootaiofuQkyuusuru.
RECITATION324_060|cyokonozaikoaQtakana?
RECITATION324_061|omee,konosykomyinyaa,donokureejyikaNkakarukasyiQteQka.
RECITATION324_062|sorenyi,konohoogakaradanotamenyazuQtoiiNdakarane.
RECITATION324_063|natsuyasumyinyi,toraavemyuNeryokoosyta.
RECITATION324_064|kokodeiQsyonyiweikufyiirudonoobaomaQta.
RECITATION324_065|yaQtsunyinaruworutaatoiQsyonyidetakyoodaigaitaga,worutaadakehaQkeNsareta.
RECITATION324_066|saisyonojyobuwawooryiagaiitoomoimas.
RECITATION324_067|oyosoroQpyakumeetorusakyiousetsudes.
RECITATION324_068|syiNteNoopuNnoresepsyoNnyitaksaNnookyaksaNosyootaisyta.
RECITATION324_069|kyakhoNsaksyapyieeruoobyurunaNnokyuujyikuremaNga,syujyiNnosyosainotootaisetssoonyihyiraita.
RECITATION324_070|warewarewa,teNsykyootokacyoorookyookaihanomonode,teNsykyootogatasuuosyimeteiru.
RECITATION324_071|keQkyokunotokorootagaigojyiQpohyaQpoda.
RECITATION324_072|toQpyoosyimonaihanasyidaga,keQsyteusodewanai.
RECITATION324_073|neQtodekeNaNnokaiketsuomezas.
RECITATION324_074|kyireajyisurudoipetyinaifuwatskaigaQtegayoi.
RECITATION324_075|yubyiokuwaetepyuutohytokoekcyibueofuita.
RECITATION324_076|kureMpekyootoowabukotsunaotokodaga,jyibuNnogakumoNnohyimyitsunyiwafkakhytaQteita.
RECITATION324_077|syiQpofuryitate,hyigekuisoras.
RECITATION324_078|subetenoemonoonozomyidooryinyineraugyijyutsugaaru.
RECITATION324_079|takonogunyagunyasytakaNsyokugaiyada.
RECITATION324_080|watasytacyiwa,cyuusyootekyiisykytekyijyikoohyteesurukotode,hoNtoonojyikotowasyiNjyiNicyinyodatoyuukotoosyiru.
RECITATION324_081|kasyimamyoojyiNgakugyidesasytsuranuite,sakanagaugokanaiyoonyisyteiru.
RECITATION324_082|watasyiwatehajyimenyi,doogyoosyakarahanasyiokykudoryokuosyta.
RECITATION324_083|totemouresysoonyipyoMpyoNhanetedeteiQta.
RECITATION324_084|nyifuNdakenoorugaNeNsoodeowaQtesyimaQta.
RECITATION324_085|nyisekyookainyidamasareruna.
RECITATION324_086|oyosohyakuneMmaenyiwa,yakuzaitosyteksuryiyadeuQteita.
RECITATION324_087|iQsokyakhoNkaomezasytahoogaiikatomokaNgaeta.
RECITATION324_088|konosyomotsunyigobyuugaaQtemo,jyuNitsudenainanyimononyimoiNfektosyinaidesyoo.
RECITATION324_089|buQkyoowaiNdoyurainosyuukyoodes.
RECITATION324_090|kyaryiibaQguwaryokoonyihyiQs.
RECITATION324_091|hoMbaMmaewamecyamecyafuaNnyinaru.
RECITATION324_092|saNkakkaNsuunyioitepyutagorasunoteeryiwahyiQsudes.
RECITATION324_093|cyomeenaranyoNhakasegakaNjyatoseQsyteita.
RECITATION324_094|omocyanokatanaomoQtasyooneNga,ohyakudoisyinyiyoryikakaQteiru.
RECITATION324_095|syokuryoonohokyuugakyuumudearutotstaerareta.
RECITATION324_096|teNjyikaideanosakhyiNnomyifhyoodaQta.
RECITATION324_097|kyakujyiNomotenasunowatoozeNdes.
RECITATION324_098|ryokookyakugatanosyimeruyoonyikfuusyimasyoo.
RECITATION324_099|koNnajyoodaNnoyoonanyuusuwanai.
RECITATION324_100|cyiisaihosyiotaksaNegaita,myizunomyigurasuwayokuaru.
RECITATION324_101|ewa,nekonosyiQpodemoaruyoonyi,seNtaNoburuburutofuruwasenagara,ugoiteiku.
RECITATION324_102|kaiteNtoosyopuryiNgaicyibaNureteita.
RECITATION324_103|ronarudohooptaiigataisyoonomaNsyoNekyuukoosyimasyta.
RECITATION324_104|nyiQkaNseNtyinarusyinohepubaNdes.
RECITATION324_105|konohoosekyiwa,hytotshyakumaNeNijyoonoonedaNdes.
RECITATION324_106|cyoocyotonakayokunaruNdakara.
RECITATION324_107|ucyuudewa,eNtoropyiiwamusaigeNnyizoodaisyteiru.
RECITATION324_108|kawanocyuuryuunyisyuurakugaaru.
RECITATION324_109|zehyiohanasysaseteitadakytaitoomoimas.
RECITATION324_110|otonaryisaNgakoNnyakuomoQteiraQsyaru.
RECITATION324_111|paatyiiwatanosyimumonodes.
RECITATION324_112|otetstoookykkakaretabaNcyajyawaNwa,koreranohytobyitonomaenyiokareta.
RECITATION324_113|watasyinopokeQtononakanyiwakeetaideNwagahaiQteimas.
RECITATION324_114|karewakoNdowabokujyooeiQte,numacyidekoakumanosyiQpohytotsumyitskemasyta.
RECITATION324_115|gogyoosetsunyiyoruuranaigaarutoyuujyoohooaryi.
RECITATION324_116|teMpurukuN,sudenyimagyakudatoiQta.
RECITATION324_117|sekaijyuunosamazamanamonyumeNtootazunearuita.
RECITATION324_118|aNsonyiihopkyiNsuwayuumeenahaiyuudes.
RECITATION324_119|kanojyowadekyirudakepyiQtaryitomyimyioatetekykyimasyta.
RECITATION324_120|cyahytotsumairanuka,maaiide.
RECITATION324_121|boyadesuNdeyokaQta.
RECITATION324_122|moNtagyugoosykyoogamaNcyestaanyikyta.
RECITATION324_123|wyiskyiinomyizuwaryiogaQtsuryinoNda.
RECITATION324_124|koreyaomatsuryiowakaimononyimyiserunyamoQtekoida.
RECITATION324_125|watasyiwaimeejyikaraaopyiNkunyikyimeta.
RECITATION324_126|munyamunya,mootaberemaseN.
RECITATION324_127|maNsyuuwaukyiigainyiwaamegaskunaitoiwareteiruga,watasyigamaNsyuunyiaruaidawa,taiseNcyuunoseeka,zuibuNamegaookaQta.
RECITATION324_128|kyiNitsuizakayadewaicyibaNuretemoftaryidehaQseNeNkuraida.
RECITATION324_129|negaiokanaeru.
RECITATION324_130|saisyotsurakaQtakedo,hanayaeNgeegaskyidaQtakara,sytsuigaiyasarenaikotomonai.
RECITATION324_131|pepyisujyiisaNwamoonerurasyii.
RECITATION324_132|suguwyirukyiNsoNoyobyinyiike.
RECITATION324_133|ohyirumaejyaspaasaNtakueftatabyiojyamasyimasyta.
RECITATION324_134|sonoryuunohyakunoatamagaosorosyii.
RECITATION324_135|hytsuyoonamyoobaNnoryoowapuryiNtonyikaitearyimas.
RECITATION324_136|maryiirojyewapavesaNtaNnoieodeta.
RECITATION324_137|yomyissumunyitsure,masumaskyoomyigawaita.
RECITATION324_138|waraikakenagaraicyinyihocykayoQta.
RECITATION324_139|cyhyoooryokkasyte,oNdaNkaoyoksysurunooryokuotsuyoksuru.
RECITATION324_140|hasamyideptsuQtokyiQtakyirehasyiopeQtonyiageta.
RECITATION324_141|hoomuraNoutsu.
RECITATION324_142|purezeNtoogyarooeisaNnyiwatasytekudasai.
RECITATION324_143|kepuraanohoosokunyitsuitecyoksetsuwatasyinyikyiitekyta.
RECITATION324_144|weNdyiizuwahaMbaagaayasaNdes.
RECITATION324_145|sykasyhyoogawaarupsudakenyiarumonodewanai.
RECITATION324_146|konosakyhyakuneMmomaQcyawasuitaisyinai.
RECITATION324_147|jyibuNohyookasurunowakaisyadeaQte,ikysugyitajyikohyoogeNwasyiQkyakunyitsunagaru.
RECITATION324_148|yorunyifkkazenohyuuhyuutoyuuotogawatasyiofuaNnyisaseru.
RECITATION324_149|kawaiikyasyanaoNnanoko.
RECITATION324_150|suicyuunokyiNgyooskuutamenopoi.
RECITATION324_151|gureNerugyiNwawyiskyiinojyooryuujyodes.
RECITATION324_152|iQsuMboosyiga,hyokohyokotokarenohooecykazuita.
RECITATION324_153|reNcyuuwaryibyiNgudepecyakcyasyabeQte,keekaisyteinai.
RECITATION324_154|heeicyiroowasyatsuicyimainyinaQtekyinumononoftoNnonakaemoguryikoNda.
RECITATION324_155|syimogyookunyihyiQkos.
RECITATION324_156|karenokotobanyiiQsyfsyigyinakaNkakuooboeta.
RECITATION324_157|konojyigyoosyonyiwahyakunyiNijyoonohytogatstometeimas.
RECITATION324_158|watasyinoiebakaryidenaku,kyiNjyonojyuukyotoiwazu,syooteNtoiwazu,baraQkunoieiedewamyinaksabanaoueteiru.
RECITATION324_159|doosewatasyiwaumanosewaosenyanaraNkara,sotoeikoo.
RECITATION324_160|yaNsecyaNtoyuuowaraigeenyiN.
RECITATION324_161|otokogamyoonakaoosyte,iQsyuNzaNnyiNnyinaQta.
RECITATION324_162|fkyuukatsudoonyigeMmetssyta.
RECITATION324_163|amegapotspotsfuryidasyta.
RECITATION324_164|peryiwyiNkuruyapuraNtyiNwaburuuaides.
RECITATION324_165|hyimeyajyijyotacyiga,kyiMpoogeyataMpoponohanaomoQte,karenohooekakeyoQteiQta.
RECITATION324_166|myiNnanokyooryokunookagedekykyoodekyta.
RECITATION324_167|worutaatowoodoganyuusytssuruto,noragamaQkanyinaQta.
RECITATION324_168|imanomocyfudadewaagarezunyiowaru.
RECITATION324_169|beNkyoocyuuwahanasykakenaide.
RECITATION324_170|repaadonokadaNgakarehateta.
RECITATION324_171|jyooryuusyunyimyoobaNokuwaeru.
RECITATION324_172|toQtskyinyikuijyocyuugasaNnyiNiru.
RECITATION324_173|reiMbooburyiQjyiwatookyoonomeesyo.
RECITATION324_174|hykyoomonowaaktoodes.
RECITATION324_175|totsuzeNumyietobyikoNda.
RECITATION324_176|syigotowadoQsaryitoaryimas.
RECITATION324_177|hamakypaipuwaaryimasytaka.
RECITATION324_178|yaoyanyiiQtehyakueNdedaikoNokaQta.
RECITATION324_179|haNnyatowakyijyononoomeNnokotodes.
RECITATION324_180|nyihoNeikunyiwafunekahykookyigahytsuyoodes.
RECITATION324_181|sykasypaademawarunomomuzukasyii.
RECITATION324_182|nobosenaiyoonyinyuuyoksurunyiwaoyunoryootooNdogadaijyi.
RECITATION324_183|kytarookuNwajyoodaNhaMbuNdenusumyinyihaiQtekegaosyta.
RECITATION324_184|baanyiisyigapyisyiQtokotaeta.
RECITATION324_185|otokonomyoonaugokyigaayasyii.
RECITATION324_186|watasyinobyookyiwaseNteNseenanodes.
RECITATION324_187|saNgoksyinokaNutoyuusyooguNwasugokuyuumeedes.
RECITATION324_188|kakokunagyoomunyitaeru.
RECITATION324_189|macyinonyooboorasyiiftaryizurega,hyigasaomoQtehaiQtekyta.
RECITATION324_190|naotsawotskyiitoiQta.
RECITATION324_191|nomyikainosaNkaokyohysyta.
RECITATION324_192|fujyiNgagyooteNsytanomomuryiwanai.
RECITATION324_193|sefadooruwamemaioosaeruksuryides.
RECITATION324_194|myiNnoicykuNkogaksyawa,soodaiteNsekyinohytotsunyiagetearucyaseNnokeejyoooomoiokosunyikurusyiNdeiru.
RECITATION324_195|syiNkaigyowamyitamewawaruigaoisyiikotogaooi.
RECITATION324_196|nyuuyookudeivunyiNgupostonokyijyinyicyuumoksyta.
RECITATION324_197|tasykanyigyuunyuutokooNfureekunoaisyoowabatsuguNda.
RECITATION324_198|sonoicyiwa,meejyisaNjyuunananeNnokugatsuyookakakokonokanoyorutooboeteiru.
RECITATION324_199|marumezoNnoteNsyuwajyesyiitowanakayosyida.
RECITATION324_200|tsuryizaookatanyikaketasyosyiaryi.
RECITATION324_201|saisyiNeekyinyinoryikomu.
RECITATION324_202|darekagausyiroekyte,heNnakoedesakeNdanodezoQtosyta.
RECITATION324_203|ooderanoisyidaNnomaenyitacyidomaQte,sonodetekurunoomacyiawaseta.
RECITATION324_204|myikaiketsunokeNaNomoQtejyuuyaktotaijyisuru.
RECITATION324_205|usuzukyinohykaryiganyiwaoteras.
RECITATION324_206|haNnyiNgadoQcyinoheyaehaiQtakawakaranai.
RECITATION324_207|keekokkaradetahyoogagaiQpoNnyigooryuusuru.
RECITATION324_208|dyiskaQsyoNossumeru.
RECITATION324_209|kuzuryuumyoojyiNomatsurutamenyitoorooonagas.
RECITATION324_210|koNkainosyiryoozukuryiwafkaisyiryoohytsuyootosytaga,seNjyitsuyaQtosyuuryoosyta.
RECITATION324_211|koQsyiosyiQkaryitokumyitateru.
RECITATION324_212|kykyuunyinoQtesoraotanosyimu.
RECITATION324_213|hyhyoobakaryidenaktaiaMmodasubekyi.
RECITATION324_214|karerawamakunoaidanyikyidonosotoosaMposyteirunodearu.
RECITATION324_215|kakonokazukazunokyibyooganaoruyoonyinaryitstsuaru.
RECITATION324_216|koonyuusyawapoMpunosyuuryigahytsuyoonakotonyikyigatsuita.
RECITATION324_217|karejyisyiNwa,rejyigyoomunyitskytaitoomoQteiru.
RECITATION324_218|jyigewakyiNironaNdes.
RECITATION324_219|eMpyitsuwaoreyasktefubeNdes.
RECITATION324_220|hypokuratesuwaigakunocycytoyobaremas.
RECITATION324_221|tokorogasyoonyiNwa,kunyizakainosugucykakuesumaQte,yaharyimaetoonajyiyoonyiyaQteimas.
RECITATION324_222|imamadeakarukaQtanyikainomadowa,kyuunyimaQkuranyinaQtesyimaimasyta.
RECITATION324_223|asfarutonyikakomaretanakanyikeyakyinokyigaiQpoN.
RECITATION324_224|nafudaoyooisuru.
RECITATION324_225|maQcyonadaNseewamoterusoo.
RECITATION324_226|syamusyonohytonohanasyinyiusowanakaQta.
RECITATION324_227|kooraksyiizuNnokyootowahytodeiQpai.
RECITATION324_228|dokokarakapacypacytootogakykoeru.
RECITATION324_229|puroyakyuuwadonocyiimugayuusyoosurudaroo?
RECITATION324_230|sykasy,koredewamarudewatasyigayuukaisyimasytatojyisysytederuyoonamonode,soNnabakanakotoosuruyatsuwaarumai.
RECITATION324_231|setsuboosytstsu,nusyiomatsu.
RECITATION324_232|syibaraksytepacypacytoyuuotomoyaNda.
RECITATION324_233|myibuNowakyimaezuhanaQtakyoogeN.
RECITATION324_234|teNokakeruryuunosugatawasyiMpyitekyida.
RECITATION324_235|watasyinoseesyiNtoicyimyakuaitsuujyirumonogaarutoomoimasyta.
RECITATION324_236|myiNnamokyuujyoonyiikyimasyoo.
RECITATION324_237|koperunyiksuwapooraNdonoteMmoNgaksyades.
RECITATION324_238|umyizoinoryokaNwanagamegaii.
RECITATION324_239|syuucyuusurutomawaryigamyienai.
RECITATION324_240|harukyizawakoNnyicyinohoNgoozadearu.
RECITATION324_241|watasyinoteohyiQparuyoonyisyte,tenohyiraekuremasyta.
RECITATION324_242|hoQkainoaranamyiwa,sonokooryinozeQpekyinoneokaNde,hagesyksyibukyiocyirasyteiru.
